Year,Month,Country,Mode,TradeType,TradeValue
1994,7,Canada,Rail,Export,880436735.0
1994,7,Canada,Rail,Import,880417777.0
1994,7,Canada,Rail,Unknown,2128403750.0
1994,7,Canada,Truck,Export,6041051490.0
1994,7,Canada,Truck,Import,6041044252.0
1994,7,Canada,Truck,Unknown,5375489604.0
1994,7,Mexico,Mail (U.S. Postal Service),Unknown,106634.0
1994,7,Mexico,Other/Unknown,Export,221405942.0
1994,7,Mexico,Other/Unknown,Import,221405942.0
1994,7,Mexico,Other/Unknown,Unknown,31550016.0
1994,7,Mexico,Pipeline,Export,23231.0
1994,7,Mexico,Pipeline,Import,23231.0
1994,7,Mexico,Pipeline,Unknown,19297894.0
1994,7,Mexico,Rail,Export,336233307.0
1994,7,Mexico,Rail,Import,336077567.0
1994,7,Mexico,Rail,Unknown,477568176.0
1994,7,Mexico,Truck,Export,3262797287.0
1994,7,Mexico,Truck,Import,3262769807.0
1994,7,Mexico,Truck,Unknown,2508888209.0
1994,8,Canada,Mail (U.S. Postal Service),Export,8748419.0
1994,8,Canada,Mail (U.S. Postal Service),Import,8748419.0
1994,8,Canada,Mail (U.S. Postal Service),Unknown,1154091.0
1994,8,Canada,Other/Unknown,Export,1768072125.0
1994,8,Canada,Other/Unknown,Import,1768064781.0
1994,8,Canada,Other/Unknown,Unknown,226417554.0
1994,8,Canada,Pipeline,Export,8783724.0
1994,8,Canada,Pipeline,Import,8783724.0
1994,8,Canada,Pipeline,Unknown,887984503.0
1994,8,Canada,Rail,Export,991917043.0
1994,8,Canada,Rail,Import,991917043.0
1994,8,Canada,Rail,Unknown,2553481895.0
1994,8,Canada,Truck,Export,7844207859.0
1994,8,Canada,Truck,Import,7844004221.0
1994,8,Canada,Truck,Unknown,6813970530.0
1994,8,Mexico,Mail (U.S. Postal Service),Export,183645.0
1994,8,Mexico,Mail (U.S. Postal Service),Import,183645.0
1994,8,Mexico,Mail (U.S. Postal Service),Unknown,154880.0
1994,8,Mexico,Other/Unknown,Export,262385056.0
1994,8,Mexico,Other/Unknown,Import,262385056.0
1994,8,Mexico,Other/Unknown,Unknown,42420558.0
1994,8,Mexico,Pipeline,Export,112914.0
1994,8,Mexico,Pipeline,Import,112914.0
1994,8,Mexico,Pipeline,Unknown,13114933.0
1994,8,Mexico,Rail,Export,238448062.0
1994,8,Mexico,Rail,Import,238448062.0
1994,8,Mexico,Rail,Unknown,629639259.0
1994,8,Mexico,Truck,Export,3526031119.0
1994,8,Mexico,Truck,Import,3526011914.0
1994,8,Mexico,Truck,Unknown,3158588706.0
1994,9,Canada,Mail (U.S. Postal Service),Export,8150222.0
1994,9,Canada,Mail (U.S. Postal Service),Import,8150222.0
1994,9,Canada,Mail (U.S. Postal Service),Unknown,317047.0
1994,9,Canada,Other/Unknown,Export,1711433009.0
1994,9,Canada,Other/Unknown,Import,1711428637.0
1994,9,Canada,Other/Unknown,Unknown,296943107.0
1994,9,Canada,Pipeline,Export,9018814.0
1994,9,Canada,Pipeline,Import,9018814.0
1994,9,Canada,Pipeline,Unknown,868416057.0
1994,9,Canada,Rail,Export,1223513468.0
1994,9,Canada,Rail,Import,1223513468.0
1994,9,Canada,Rail,Unknown,3178850195.0
1994,9,Canada,Truck,Export,7887395105.0
1994,9,Canada,Truck,Import,7887392076.0
1994,9,Canada,Truck,Unknown,7056515153.0
1994,9,Mexico,Mail (U.S. Postal Service),Export,770695.0
1994,9,Mexico,Mail (U.S. Postal Service),Import,770695.0
1994,9,Mexico,Mail (U.S. Postal Service),Unknown,464299.0
